timestamp,gt_x,gt_y,gt_yaw,odom_x,odom_y,pf_x,pf_y,pf_yaw,pf_cov_x,pf_cov_y,q_score,craters
0.10611701011657715,-9.998352682644697,-9.999997334538923,6.926624537034652e-07,-9.998352710244129,-9.999997334545816,-10.239171695370926,-9.57115499942238,0.2801198829778689,0.1449383805433981,0.16432524341909358,0.4125080704689026,1
0.20641350746154785,-9.99835176266365,-9.999997334309148,6.925438813600321e-07,-9.998351790263083,-9.99999733431604,-10.23917083878829,-9.57115475077525,0.28011991946935383,0.1449384256154967,0.1643252092236634,0.41250815987586975,1
0.30617785453796387,-9.998350842682603,-9.999997334079373,6.924253099228422e-07,-9.998350870282035,-9.999997334086265,-10.239170038054988,-9.571154521091366,0.2801199802914751,0.1449383776718905,0.16432519342634205,0.41250818967819214,1
0.40598416328430176,-9.998349922701557,-9.999997333849597,6.923067380295318e-07,-9.99834995030099,-9.999997333856491,-10.239169251209558,-9.571154292577505,0.2801199504139124,0.14493841922059122,0.1643251759396748,0.4125082790851593,1
0.5060229301452637,-9.99834900272051,-9.999997333619824,6.921881664380077e-07,-9.998349030319941,-9.999997333626716,-10.239168337282296,-9.571154029726198,0.28011992783920464,0.1449384230709006,0.1643251512317076,0.412508100271225,1
0.6059961318969727,-9.998348082739463,-9.999997333390047,6.920695948404419e-07,-9.998348110338895,-9.99999733339694,-10.239167509732994,-9.571153790932227,0.2801199324797624,0.14493843452656366,0.16432513349476488,0.41250792145729065,1
0.7062067985534668,-9.998347162758416,-9.999997333160273,6.91951022504774e-07,-9.998347190357848,-9.999997333167167,-10.239166558233938,-9.571153518844193,0.2801199613557207,0.14493836628608694,0.16432512003135472,0.4125078618526459,1
0.8059556484222412,-9.99834624277737,-9.9999973329305,6.918324514619879e-07,-9.998346270376802,-9.999997332937392,-10.23916562826571,-9.571153252721597,0.28011997824302515,0.14493833580878104,0.1643251058992067,0.4125078618526459,1
0.9060187339782715,-9.998345322796322,-9.999997332700724,6.917138790256541e-07,-9.998345350395754,-9.999997332707617,-10.239164728378793,-9.57115299497682,0.2801199060750303,0.14493829987166768,0.16432509328939154,0.4125078022480011,1
1.0059778690338135,-9.998344402815276,-9.999997332470947,6.915953066546364e-07,-9.998344430414708,-9.999997332477841,-10.239163808115453,-9.571152729222806,0.28012002769395494,0.14493833826123284,0.16432506682430933,0.41250747442245483,1
1.1059982776641846,-9.998343482834228,-9.999997332241174,6.914767348919237e-07,-9.99834351043366,-9.999997332248068,-10.239162882672343,-9.57115246190745,0.2801200644064747,0.14493835052630644,0.164325055958632,0.4125077724456787,1
1.2059988975524902,-9.998342562853182,-9.999997332011398,6.913581624601064e-07,-9.998342590452612,-9.999997332018292,-10.239161990807448,-9.571152204982234,0.28012005245822613,0.14493837009506186,0.1643250482899674,0.4125077724456787,1
1.3059887886047363,-9.998341642872134,-9.999997331781623,6.912395919285623e-07,-9.998341670471566,-9.999997331788517,-10.23916109805178,-9.571151948446937,0.28012006443816495,0.1449383475801173,0.1643250218350707,0.41250765323638916,1
1.405932903289795,-9.998340722891088,-9.99999733155185,6.911210195066311e-07,-9.998340750490518,-9.999997331558744,-10.23916019614771,-9.571151687879071,0.28011997131146077,0.1449383619832705,0.16432500783520912,0.4125075936317444,1
1.506169080734253,-9.99833980291004,-9.999997331322074,6.910024480744391e-07,-9.998339830509472,-9.999997331328968,-10.23915934218566,-9.571151441250024,0.28011979974880047,0.14493839188317156,0.16432498832852505,0.41250720620155334,1
1.6059377193450928,-9.998338882928994,-9.999997331092299,6.908838754320507e-07,-9.998338910528425,-9.999997331099193,-10.239158379945609,-9.571151164026805,0.28011976042215814,0.1449384049169186,0.16432497364940224,0.4125065505504608,1
1.706749439239502,-9.998337962947947,-9.999997330862525,6.907653045983972e-07,-9.998337990547379,-9.999997330869418,-10.23915753916025,-9.57115092239366,0.28011975908720127,0.14493838386524172,0.16432495373733244,0.4125063419342041,1
1.806060791015625,-9.9983370429669,-9.99999733063275,6.906467321987876e-07,-9.998337070566333,-9.999997330639642,-10.239156818116687,-9.571150716121947,0.2801197440611143,0.14493836942162977,0.16432494701463674,0.41250625252723694,1
1.9059786796569824,-9.998336122985853,-9.999997330402975,6.905281608334465e-07,-9.998336150585285,-9.999997330409869,-10.239155734912151,-9.571150405124365,0.28011988908921137,0.144938335641503,0.16432493270805976,0.4125061333179474,1
2.006040573120117,-9.998335203004807,-9.999997330173201,6.904095884174443e-07,-9.998335230604237,-9.999997330180094,-10.239154962331233,-9.571150182664509,0.28011976880635703,0.14493838081401933,0.16432492446396055,0.41250646114349365,1
2.105978488922119,-9.998334283023759,-9.999997329943426,6.902910173553611e-07,-9.998334310623191,-9.999997329950318,-10.239153930092286,-9.571149883943658,0.2801196492823284,0.14493838048767058,0.1643248840169402,0.41250598430633545,1
2.206101417541504,-9.995157681882274,-9.9999972073074,1.0152457574225196e-06,-9.995520989425053,-9.999997175838919,-10.236447980221332,-9.570371295323232,0.28012726493663875,0.14492118378217686,0.16427602435580188,0.41250550746917725,0
2.3059771060943604,-9.973552051344388,-9.999997191005026,1.1262735190082544e-06,-9.974514425926651,-9.999997170615927,-10.216275609088532,-9.564567749471433,0.2801065518323124,0.14480982609681553,0.16391084572933085,0.41250550746917725,0
2.405984401702881,-9.941868796881264,-9.99999713474902,1.1041311251101273e-06,-9.933510188698188,-9.999997098349388,-10.17689522414795,-9.553238219134062,0.28012286061883385,0.1446031453128096,0.1632038581845046,0.41250550746917725,0
